StudentId,CreditsSoFar,CreditsThisCourse,Sex,Race,ACT-math,GPA
1-Z,23,10,M,W,22.76499158,3.519973715
2-Z,24,10,M,W,18.90379739,3.593114826
3-Z,29,14,F,W,22.90993156,3.065760796
4-Z,24,11,M,W,24.68586347,1.930038405
5-Z,31,10,F,W,24.4993169,3.764694979
6-Z,24,11,M,W,25.59275053,2.309329537
7-Z,28,14,F,W,22.6967036,3.299533095
8-Z,25,13,F,W,17.76193562,3.714841749
9-Z,27,14,M,W,23.48861256,2.322743842
10-Z,27,13,F,W,20.55071189,2.70915342
11-Z,23,14,M,W,18.69228373,2.224292847
12-Z,23,14,F,W,22.18059995,2.464649769
13-Z,27,10,M,W,23.49871951,2.431701334
14-Z,23,11,F,W,21.88874238,3.068662428
15-Z,25,10,F,W,27.2204374,2.121050029
16-Z,26,11,F,W,24.34187427,2.546098804
17-Z,31,13,F,W,24.40798338,3.518197445
18-Z,30,13,M,A,23.10452,2.489248929
19-Z,32,12,F,W,22.18550376,3.654236927
20-Z,26,11,M,W,23.9832836,3.931672705
21-Z,29,13,M,W,21.67375547,3.998620229
22-Z,28,11,M,W,15.16190042,2.148952112
23-Z,26,13,F,W,19.0835483,3.529978167
24-Z,24,13,M,W,24.1886342,2.171630997
25-Z,29,10,M,W,24.28231042,3.25453415
26-Z,29,11,F,B,20.9794503,2.533667422
27-Z,29,10,M,B,23.7064249,1.572934156
28-Z,25,10,F,W,24.44526226,2.95006689
29-Z,25,13,M,W,21.80633398,3.48921327
30-Z,32,13,M,W,25.30776383,2.276059414
31-Z,27,10,F,W,25.41572921,2.807147805
32-Z,23,14,M,B,25.16569732,1.998386558
33-Z,26,13,F,W,12.77302082,2.944805657
34-Z,26,13,M,B,27.52821153,4.686003204
35-Z,32,12,M,W,16.75440139,2.658848116
36-Z,28,14,F,W,18.89600762,2.63250745
37-Z,32,12,F,B,18.06544654,3.454702728
38-Z,28,10,M,A,23.11512927,3.619281011
39-Z,25,11,F,H,19.80171611,2.041040516
40-Z,27,13,F,W,20.17516268,3.171567122
41-Z,32,12,F,W,18.45131162,2.011612864
42-Z,27,11,M,W,27.0153369,1.874519549
43-Z,27,12,F,B,24.49991073,3.251271181
44-Z,32,13,M,W,17.72870368,4.676096837
45-Z,30,13,M,W,20.28274135,3.274701098
46-Z,26,13,M,W,24.70999647,3.450954573
47-Z,28,12,M,H,25.75101657,3.241096712
48-Z,24,10,F,B,22.47042731,2.385472548
49-Z,26,14,M,W,26.99460556,3.190279182
50-Z,29,14,F,W,17.08542062,2.83467946
51-Z,31,10,M,W,20.63764122,3.75781539
52-Z,23,11,F,W,23.74881013,1.708750208
53-Z,32,12,F,B,21.76636581,4.311760576
54-Z,26,12,F,W,27.02300216,2.684285843
55-Z,27,13,M,B,23.84805964,2.214418398
56-Z,32,13,M,W,24.76122767,1.974884103
57-Z,28,13,M,W,25.30916393,2.754837231
58-Z,27,11,M,W,26.07923414,2.692539863
59-Z,31,10,F,W,26.20132557,2.899560288
60-Z,23,14,F,A,25.56666089,2.418340343
61-Z,23,13,M,W,21.1152375,3.148203484
62-Z,32,10,M,W,22.52207689,3.304958194
63-Z,25,10,F,W,26.23417368,2.421957373
64-Z,26,12,F,W,26.4379275,3.349192018
65-Z,25,12,F,W,24.09727329,3.860468213
66-Z,29,11,M,W,20.02169851,3.917410209
67-Z,23,12,M,W,25.83938028,2.924103906
68-Z,26,11,F,B,22.24927829,2.342061464
69-Z,23,12,M,B,19.79854334,3.697227808
70-Z,25,10,F,W,21.13201912,2.136791586
71-Z,31,12,F,W,25.29715347,3.315958297
72-Z,24,11,M,W,22.81542655,3.575384219
73-Z,32,13,M,W,24.47740523,2.088681031
74-Z,31,12,M,W,22.60216884,3.834090493
75-Z,23,12,F,W,21.95744066,3.593703379
76-Z,25,14,F,W,22.46417752,3.137325028
77-Z,28,13,M,B,26.59666524,3.731194341
78-Z,27,11,F,W,26.25122723,2.76238273
79-Z,23,14,F,W,16.79530416,2.353298213
80-Z,29,11,M,W,23.20543913,2.833563038
81-Z,24,13,F,W,22.95835847,1.484347145
82-Z,24,14,F,W,21.18742417,2.089024727
83-Z,25,14,M,W,25.63748913,3.88294073
84-Z,26,12,F,W,18.93688185,2.613392093
85-Z,30,14,M,H,24.57913882,2.677635678
86-Z,29,14,F,W,27.01241879,2.970794258
87-Z,32,11,F,W,20.23008359,3.832578151
88-Z,24,12,F,B,23.34905324,3.143334254
