Course,Semester,Section,StudentId,hw1,hw2,lab,paper1,presentation,paper3,test1,test2,test3,Total Grade,Final letter
Chem2331,Fall 2012,1,1-Z,75.71642602,72.52147222,77.16126979,62.54179737,66.67936386,72.29399254,88.01415285,73.72531907,76.63947264,85.48184305,B
Chem2331,Fall 2012,1,2-Z,103.6837082,76.11052146,77.24400474,74.32748319,68.83875369,85.81934943,64.65706467,81.44046093,74.80366207,70.3490141,C
Chem2331,Fall 2012,1,3-Z,71.87916825,73.74498057,80.14118153,81.33698998,66.37714843,61.74011663,78.38233207,77.84804188,68.06576235,70.38944149,C
Chem2331,Fall 2012,1,4-Z,81.7544307,77.71906498,71.91704212,82.23772923,74.1618028,81.5294321,73.60977486,90.39188465,61.62015145,87.56298288,B
Chem2331,Fall 2012,1,5-Z,70.62206206,85.4821443,62.07492347,61.62457282,89.58630459,74.82305715,68.97756944,82.8361019,88.39203262,99.50654396,A
Chem2331,Fall 2012,1,6-Z,74.61937863,88.73088593,87.68654552,80.50761011,84.24650516,90.35059403,66.02970131,77.23257376,74.26805537,66.81506921,D 
Chem2331,Fall 2012,1,7-Z,92.07016619,63.65867743,69.06899687,75.16005559,69.22474049,66.41791903,91.04690524,80.34026938,78.66312151,86.39101022,B
Chem2331,Fall 2012,1,8-Z,91.12912095,74.46566228,65.920646,69.48332434,76.52610719,74.07470409,71.985398,73.12742625,73.23349012,79.51569952,C
Chem2331,Fall 2012,1,9-Z,68.84961276,76.71902278,80.19940002,81.92131375,71.06912081,70.77314997,64.85123531,74.80816365,82.76114153,80.58703221,B
Chem2331,Fall 2012,1,10-Z,75.59648147,78.14840425,78.26554919,83.87880319,75.05481619,57.81683445,82.1545779,85.15065141,71.49038795,68.19671015,D 
Chem2331,Fall 2012,1,11-Z,92.83110843,83.64724852,81.0196944,92.63121809,68.52238781,88.66438783,74.09028972,100.58065,77.95559295,76.29715272,C
Chem2331,Fall 2012,1,12-Z,77.85566164,62.0338485,82.03590111,84.89521375,71.02853342,74.02311025,62.39911909,79.61750397,70.19075146,77.87508007,C
Chem2331,Fall 2012,1,13-Z,71.69749722,63.35656905,70.07413784,76.0050889,68.44949071,69.51108902,85.19930852,74.98098667,73.69395909,76.6184035,C
Chem2331,Fall 2012,1,14-Z,52.87550762,92.02610589,93.88762255,59.95908748,82.66000072,82.49977463,80.9085916,87.79855293,89.5470586,85.62784407,B
Chem2331,Fall 2012,1,15-Z,77.30807889,52.99563365,68.90048381,81.67062254,76.08348646,86.5292211,72.87050144,66.13495411,64.27074425,71.44352824,C
Chem2331,Fall 2012,1,16-Z,71.62802105,95.44567851,97.98617402,82.42006076,98.58981648,82.20946889,76.49078521,62.86151936,86.62047781,68.03083121,D 
Chem2331,Fall 2012,2,17-Z,96.9524123,83.95645758,87.22134895,66.40317894,85.99357409,95.52346077,89.08736631,91.46888836,78.17959756,84.89134587,B
Chem2331,Fall 2012,2,18-Z,68.25426515,83.21572389,68.89901319,98.42029093,88.35528879,81.92881293,61.26749737,68.9043319,84.086654,70.87530819,C
Chem2331,Fall 2012,2,19-Z,62.92102664,85.89294279,66.48973557,85.58487377,55.00562288,61.63893261,65.16693919,59.66694498,78.02929096,78.79663451,C
Chem2331,Fall 2012,2,20-Z,78.64909255,80.03442548,88.90940325,86.92581737,82.0448526,75.52612911,79.65555642,55.99626663,58.07070084,81.22496945,B
Chem2331,Fall 2012,2,21-Z,80.58614025,82.86879173,83.82065141,81.1767847,57.75157676,79.13610825,86.05792326,66.07237938,83.71569855,83.09366889,B
Chem2331,Fall 2012,2,22-Z,68.75653541,82.50579862,79.15927878,75.96094201,65.08348091,64.56454009,84.91239489,62.93729351,71.68953148,78.75348339,C
Chem2331,Fall 2012,2,23-Z,85.64444002,83.04277518,66.02351443,89.0026553,95.4145215,81.12811125,73.61641508,75.58303258,76.40748715,60.93090075,D 
Chem2331,Fall 2012,2,24-Z,78.60605378,69.46872174,66.75838285,76.13171048,89.07915123,76.52241254,76.24757464,73.49343107,76.08984079,63.28488095,D 
Chem2331,Fall 2012,2,25-Z,78.43569361,83.37896204,73.61597552,79.77427182,79.89800879,70.68905724,84.14472847,85.1916923,88.62693849,94.79063567,A
Chem2331,Fall 2012,2,26-Z,77.66011901,61.96531138,80.35738159,95.97188445,86.11351884,70.94694265,85.38726212,85.73210372,62.46768747,78.85138067,C
Chem2331,Fall 2012,2,27-Z,69.63536459,82.02053202,85.81418937,84.17776799,82.95323882,78.09162339,85.70958929,80.93287436,79.65164024,77.19256469,C
