StudentId,CreditsSoFar,CreditsThisCourse,Sex,Race,ACT-math,GPA,FirstGeneration,CollegeYear
1,23,10,M,W,22.76499158,3.519973715,N,Sophmore
2,24,10,M,W,18.90379739,3.593114826,Y,Sophmore
3,29,14,F,W,22.90993156,3.065760796,Y,Sophmore
4,24,11,M,W,24.68586347,1.930038405,N,Sophmore
5,31,10,F,W,24.4993169,3.764694979,N,Sophmore
6,24,11,M,W,25.59275053,2.309329537,Y,Sophmore
7,28,14,F,W,22.6967036,3.299533095,N,Sophmore
8,25,13,F,W,17.76193562,3.714841749,N,Sophmore
9,27,14,M,W,23.48861256,2.322743842,Y,Sophmore
10,27,13,F,W,20.55071189,2.70915342,N,Sophmore
11,23,14,M,W,18.69228373,2.224292847,N,Sophmore
12,23,14,F,W,22.18059995,2.464649769,N,Sophmore
13,27,10,M,W,23.49871951,2.431701334,Y,Sophmore
14,23,11,F,W,21.88874238,3.068662428,Y,Sophmore
15,25,10,F,W,27.2204374,2.121050029,Y,Sophmore
16,26,11,F,W,24.34187427,2.546098804,Y,Sophmore
17,31,13,F,W,24.40798338,3.518197445,N,Sophmore
18,30,13,M,A,23.10452,2.489248929,Y,Sophmore
19,32,12,F,W,22.18550376,3.654236927,N,Sophmore
20,26,11,M,W,23.9832836,3.931672705,N,Sophmore
21,29,13,M,W,21.67375547,3.998620229,N,Sophmore
22,28,11,M,W,15.16190042,2.148952112,Y,Sophmore
23,26,13,F,W,19.0835483,3.529978167,Y,Sophmore
24,24,13,M,W,24.1886342,2.171630997,N,Sophmore
25,29,10,M,W,24.28231042,3.25453415,Y,Sophmore
26,29,11,F,N,20.9794503,2.533667422,Y,Sophmore
27,29,10,M,N,23.7064249,1.572934156,Y,Sophmore
28,25,10,F,W,24.44526226,2.95006689,N,Sophmore
29,25,13,M,W,21.80633398,3.48921327,N,Sophmore
30,32,13,M,W,25.30776383,2.276059414,N,Sophmore
31,27,10,F,W,25.41572921,2.807147805,Y,Sophmore
32,23,14,M,N,25.16569732,1.998386558,N,Sophmore
33,26,13,F,W,12.77302082,2.944805657,N,Sophmore
34,26,13,M,B,27.52821153,4.686003204,Y,Sophmore
35,32,12,M,W,16.75440139,2.658848116,Y,Sophmore
36,28,14,F,W,18.89600762,2.63250745,Y,Sophmore
37,32,12,F,N,18.06544654,3.454702728,Y,Sophmore
38,28,10,M,A,23.11512927,3.619281011,N,Sophmore
39,25,11,F,O,19.80171611,2.041040516,N,Sophmore
40,27,13,F,W,20.17516268,3.171567122,N,Sophmore
41,32,12,F,W,18.45131162,2.011612864,Y,Sophmore
42,27,11,M,W,27.0153369,1.874519549,N,Sophmore
43,27,12,F,B,24.49991073,3.251271181,N,Sophmore
44,32,13,M,W,17.72870368,4.676096837,Y,Sophmore
45,30,13,M,W,20.28274135,3.274701098,N,Sophmore
46,26,13,M,W,24.70999647,3.450954573,N,Sophmore
47,28,12,M,O,25.75101657,3.241096712,Y,Sophmore
48,24,10,F,B,22.47042731,2.385472548,N,Sophmore
49,26,14,M,W,26.99460556,3.190279182,N,Junior
50,29,14,F,W,17.08542062,2.83467946,N,Junior
51,31,10,M,W,20.63764122,3.75781539,N,Junior
52,23,11,F,W,23.74881013,1.708750208,Y,Junior
53,32,12,F,N,21.76636581,4.311760576,N,Junior
54,26,12,F,W,27.02300216,2.684285843,Y,Junior
55,27,13,M,B,23.84805964,2.214418398,N,Junior
56,32,13,M,W,24.76122767,1.974884103,N,Junior
57,28,13,M,W,25.30916393,2.754837231,Y,Junior
58,27,11,M,W,26.07923414,2.692539863,N,Junior
59,31,10,F,W,26.20132557,2.899560288,N,Junior
60,23,14,F,A,25.56666089,2.418340343,Y,Junior
61,23,13,M,W,21.1152375,3.148203484,N,Junior
62,32,10,M,W,22.52207689,3.304958194,Y,Junior
63,25,10,F,W,26.23417368,2.421957373,N,Junior
64,26,12,F,W,26.4379275,3.349192018,Y,Junior
65,25,12,F,W,24.09727329,3.860468213,N,Junior
66,29,11,M,W,20.02169851,3.917410209,N,Junior
67,23,12,M,W,25.83938028,2.924103906,N,Junior
68,26,11,F,B,22.24927829,2.342061464,N,Junior
69,23,12,M,B,19.79854334,3.697227808,N,Junior
70,25,10,F,W,21.13201912,2.136791586,Y,Junior
71,31,12,F,W,25.29715347,3.315958297,Y,Junior
72,24,11,M,W,22.81542655,3.575384219,Y,Junior
73,32,13,M,W,24.47740523,2.088681031,Y,Non-degree
74,31,12,M,W,22.60216884,3.834090493,N,Non-degree
75,23,12,F,W,21.95744066,3.593703379,N,Non-degree
76,25,14,F,W,22.46417752,3.137325028,N,Non-degree
77,28,13,M,N,26.59666524,3.731194341,N,Non-degree
78,27,11,F,W,26.25122723,2.76238273,N,Non-degree
79,23,14,F,W,16.79530416,2.353298213,N,Non-degree
80,29,11,M,W,23.20543913,2.833563038,N,Non-degree
81,24,13,F,W,22.95835847,1.484347145,N,Non-degree
82,24,14,F,W,21.18742417,2.089024727,N,Non-degree
83,25,14,M,W,25.63748913,3.88294073,Y,Non-degree
84,26,12,F,W,18.93688185,2.613392093,N,Non-degree
85,30,14,M,O,24.57913882,2.677635678,Y,Non-degree
86,29,14,F,W,27.01241879,2.970794258,N,Non-degree
87,32,11,F,W,20.23008359,3.832578151,N,Non-degree
88,24,12,F,N,23.34905324,3.143334254,Y,Non-degree
